U+35E9	㗩		*mojidata IDS: ^⿰口習$(GTPV)
U+3862	㡢		*mojidata IDS: ^⿰巾㬅$(GJ) / ^⿰巾𭦟$(T)
U+43DE	䏞		*mojidata IDS: ^⿰月末$(GJ) / ^⿰⺼未$(T)
U+4BCE	䯎		*mojidata IDS: ^⿰骨𫢉$(G) / ^⿰骨⿱八干$(T)
U+6B25	欥	
U+980B	頋	
U+20089	𠂉		*mojidata IDS: ^⿰㇒一$(GJV)
U+201A2	𠆢		*mojidata IDS: ^𠆢$(J)
U+20457	𠑗		*mojidata IDS: ^⿰亻⿱𦦉巳$(GT)
U+20B24	𠬤		*mojidata IDS: ^⿱又𰀁$(GV)
U+211AE	𡆮		*mojidata IDS: ^⿴囗士$(G) / ^⿴囗土$(Z)
U+2148D	𡒍		*mojidata IDS: ^⿱聚土$(GT)
U+21502	𡔂		*mojidata IDS: ^⿳宀㠭𪢾$(GT)
U+21636	𡘶		*mojidata IDS: ^⿱䶹⿱大夲$(GT)
U+22843	𢡃		*mojidata IDS: ^⿱立患$(G) / ^⿱𠶷心$(T)
U+23326	𣌦		*mojidata IDS: ^⿱日肀$(GT)
U+237E5	𣟥		*mojidata IDS: ^⿰木𢡃$(G)
U+246C9	𤛉		*mojidata IDS: ^⿳𫝀⿳巛冖厶㐄$(G) / ^⿱𫝀⿳巛冖牟$(T)
U+248E9	𤣩		*mojidata IDS: ^𤣩$(HT)
U+25A2B	𥨫		*mojidata IDS: ^⿱穴𪓑$(G) / ^⿱⿱宀儿⿱丶黽$(T) / ^⿱穴黽$(K)
U+2669C	𦚜		*mojidata IDS: ^⿰⺼末$(T)
U+27FB7	𧾷		*mojidata IDS: ^⿱口止$(JV)
U+29167	𩅧		*mojidata IDS: ^⿱雨⿳㇒罒⿰𰀪{15}$(G) / ^⿱雨衆$(TP)
U+296B1	𩚱		*mojidata IDS: ^⿰飠冋$(GT)
U+2976E	𩝮		*mojidata IDS: ^⿲飠𦣞已$(T)
U+2A8D8	𪣘		*mojidata IDS: ^⿰土吳$(GT) / ^⿰土吴$(Z)
U+2A917	𪤗		*mojidata IDS: ^⿰土翏$(GT)
U+2AA90	𪪐		*mojidata IDS: ^⿸虍文$(T)
U+2ADB8	𪶸		*mojidata IDS: ^⿰氵紊$(GT)
U+2AE12	𪸒		*mojidata IDS: ^⿰火互$(GT)
U+2B058	𫁘		*mojidata IDS: ^⿱穴⿱口⿰𰀄⿺乚⿰丨𫜹$(G) / ^⿱穴黽$(Z)
U+2B81E	𫠞	
U+2B876	𫡶		*mojidata IDS: ^⿰云甚$(G)
U+2B8A0	𫢠		*mojidata IDS: ^⿰亻⿱艹尸$(V)
U+2DB7C	𭭼		*mojidata IDS: ^⿰止⿱⿷免丶⿰免⿷免丶$(K) / ^⿰止𠓗$(Z)
U+2EA07	𮨇		*mojidata IDS: ^⿰⿸厂㇯{18}一頁$(JS)
U+30D12	𰴒		*mojidata IDS: ^⿰⿱一𠕒見$(G)
U+312E7	𱋧		*mojidata IDS: ^⿰麦⿱⿻𦍌㇒工$(G) / ^⿰麦⿱䒑𦒳$(X)
U+31F00	𱼀		*mojidata IDS: ^⿻夕丶$(S)
U+31F1A	𱼚		*mojidata IDS: ^⿰未⿱成肉$(B)
